"session","bill_type","bill_number","legislator","floor_stage_vote","committee_stage_vote","type_lobbyiing"
2003,"AB","106","Bies, Garey",1,1,"Pre-For, Post-None"
2003,"AB","106","Gunderson, Scott L.",1,1,"Pre-For, Post-None"
2003,"AB","106","Johnsrud, DuWayne",1,1,"Pre-For, Post-None"
2003,"AB","106","Miller, Mark",1,0,"Pre-For, Post-None"
2003,"AB","106","Ott, Alvin R.",1,1,"Pre-For, Post-None"
2003,"AB","106","Pettis, Mark L.",1,1,"Pre-For, Post-None"
2003,"AB","106","Steinbrink, John P.",1,1,"Pre-For, Post-None"
2003,"AB","106","Williams, Mary",1,1,"Pre-For, Post-None"
2003,"AB","112","Freese, Stephen J.",1,1,"No Lobbying"
2003,"AB","112","Grothman, Glenn",1,1,"No Lobbying"
2003,"AB","112","Gundrum, Mark",1,1,"No Lobbying"
2003,"AB","112","Pocan, Mark",1,1,"No Lobbying"
2003,"AB","112","Travis, David M.",1,1,"No Lobbying"
2003,"AB","114","Freese, Stephen J.",1,1,"Pre-Against, Post-None"
2003,"AB","114","Grothman, Glenn",1,1,"Pre-Against, Post-None"
2003,"AB","114","Gundrum, Mark",1,1,"Pre-Against, Post-None"
2003,"AB","114","Pocan, Mark",1,1,"Pre-Against, Post-None"
2003,"AB","114","Travis, David M.",1,1,"Pre-Against, Post-None"
2003,"AB","116","Freese, Stephen J.",1,1,"No Lobbying"
2003,"AB","116","Grothman, Glenn",1,1,"No Lobbying"
2003,"AB","116","Gundrum, Mark",1,1,"No Lobbying"
2003,"AB","116","Pocan, Mark",1,1,"No Lobbying"
2003,"AB","116","Travis, David M.",1,0,"No Lobbying"
2003,"AB","120","Freese, Stephen J.",1,1,"No Lobbying"
2003,"AB","120","Grothman, Glenn",1,1,"No Lobbying"
2003,"AB","120","Gundrum, Mark",1,1,"No Lobbying"
2003,"AB","120","Pocan, Mark",1,1,"No Lobbying"
2003,"AB","120","Travis, David M.",1,1,"No Lobbying"
2003,"AB","121","Freese, Stephen J.",1,1,"No Lobbying"
2003,"AB","121","Grothman, Glenn",1,1,"No Lobbying"
2003,"AB","121","Gundrum, Mark",1,1,"No Lobbying"
2003,"AB","121","Pocan, Mark",1,1,"No Lobbying"
2003,"AB","121","Travis, David M.",1,1,"No Lobbying"
2003,"AB","123","Freese, Stephen J.",1,1,"No Lobbying"
2003,"AB","123","Grothman, Glenn",1,1,"No Lobbying"
2003,"AB","123","Gundrum, Mark",1,1,"No Lobbying"
2003,"AB","123","Pocan, Mark",1,1,"No Lobbying"
2003,"AB","123","Travis, David M.",1,1,"No Lobbying"
2003,"AB","124","Berceau, Terese",1,1,"Pre-For, Post-None"
2003,"AB","124","Gunderson, Scott L.",1,1,"Pre-For, Post-None"
2003,"AB","124","Huber, Gregory B.",1,1,"Pre-For, Post-None"
2003,"AB","124","LeMahieu, Daniel R.",1,1,"Pre-For, Post-None"
2003,"AB","124","Lehman, Michael A.",1,1,"Pre-For, Post-None"
2003,"AB","124","Lothian, Thomas A.",1,1,"Pre-For, Post-None"
